companyName,industryField,positionName,jobNature,createTime,financeStage,companyLabelList,companySize,city,district,positionType,education,positionAdvantage,Salary,salaryMax,salaryMin,salaryAvg,workYear
易车服,O2O,人事专员,全职,2017-05-10 09:16:05,成长型(A轮),"['技能培训', '节日礼物', '股票期权', '带薪年假']",50-150人,深圳,None,综合职能类,大专,"福利好,下午茶,带薪年假,氛围好",4k-6k,6,4,5.0,1-3年
卓领通讯,移动互联网,大数据开发,全职,2017-05-10 09:16:05,初创型(未融资),[],15-50人,上海,浦东新区,开发/测试/运维类,大专,"平台大,氛围好,机会多,福利好",12k-24k,24,12,18.0,5-10年
鼎若网络,游戏,C++游戏服务端,全职,2017-05-10 09:16:01,初创型(未融资),[],少于15人,上海,None,开发/测试/运维类,不限,"包吃,包住,生日福利,旅游",13k-25k,25,13,19.0,1-3年
北京麦田,生活服务,运营专员,全职,2017-05-10 09:16:00,成熟型(不需要融资),"['年底双薪', '节日礼物', '技能培训', '年度旅游']",2000人以上,北京,朝阳区,市场/商务/销售类,大专,无责底薪4200 办公环境好 团队旅游,6k-9k,9,6,7.5,不限
帝联科技,移动互联网,直播开发工程师,全职,2017-05-10 09:15:59,成熟型(D轮及以上),"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",500-2000人,上海,普陀区,开发/测试/运维类,本科,"办公环境好,技术大咖多,晋升空间大,同事友好",15k-25k,25,15,20.0,不限
搜虎网络,移动互联网,网络销售,全职,2017-05-10 09:15:58,初创型(未融资),"['带薪年假', '弹性工作', '节日礼物', '年度旅游']",50-150人,深圳,None,市场/商务/销售类,不限,"双休,下午茶,五险一金,氛围好",4k-8k,8,4,6.0,不限
每金,O2O,文案策划,全职,2017-05-10 09:15:52,成长型(不需要融资),"['绩效奖金', '带薪年假', '定期体检', '管理规范']",150-500人,广州,越秀区,市场/商务/销售类,本科,"文案策划,商务",5k-10k,10,5,7.5,1-3年
爱抢购,"移动互联网,O2O",BD,全职,2017-05-10 09:15:52,成长型(B轮),"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",150-500人,无锡,梁溪区,市场/商务/销售类,大专,"晋升快,提成高",6k-8k,8,6,7.0,1年以下
乐易网络,"移动互联网,游戏",PHP,全职,2017-05-10 09:15:51,成长型(A轮),"['技术大牛', '高逼格环境', '两次年度旅游', '福利倍儿好']",150-500人,深圳,南山区,开发/测试/运维类,本科,"海外手游,鹅厂大神,高配团队",10k-20k,20,10,15.0,1-3年
天天有货,"移动互联网,O2O",运作主管,全职,2017-05-10 09:15:47,成长型(A轮),"['股票期权', '岗位晋升', '美女多', '领导好']",15-50人,上海,None,市场/商务/销售类,不限,"五险一金,绩效奖金,股票期权,弹性工作制",5k-9k,9,5,7.0,不限
瀚德金控,金融,投资总监-JCL,全职,2017-05-10 09:15:46,成长型(不需要融资),"['绩效奖金', '午餐补助', '定期体检', '带薪年假']",150-500人,深圳,南山区,金融类,硕士,"股票期权,绩效奖金,带薪年假,领导好",15k-30k,30,15,22.5,5-10年
迈宁贸易,电子商务,外贸业务员/Amazon业务/销售,全职,2017-05-10 09:15:44,初创型(不需要融资),"['年底双薪', '绩效奖金', '带薪年假', '节日礼物']",15-50人,深圳,龙岗区,市场/商务/销售类,大专,"发展前景好,办公氛围活,老板好,提成高",5k-8k,8,5,6.5,不限
房帮帮,移动互联网,前端开发工程师,全职,2017-05-10 09:15:43,初创型(不需要融资),[],15-50人,珠海,None,开发/测试/运维类,大专,"互联网,房地产,爆发股",8k-10k,10,8,9.0,1-3年
乐富购,"电子商务,移动互联网",产品总监,全职,2017-05-10 09:15:37,上市公司,"['股票期权', '交通补助', '午餐补助', '美女多']",150-500人,深圳,南山区,产品/需求/项目类,本科,"双休,餐补,交通补贴",35k-50k,50,35,42.5,10年以上
冲动旅行,移动互联网,客服专员,全职,2017-05-10 09:15:35,成长型(A轮),"['股票期权', '帅哥多', '五险一金']",150-500人,北京,朝阳区,运营/编辑/客服,大专,"颜值高,扁平化,福利赞",4k-5k,5,4,4.5,1年以下
卓领通讯,移动互联网,Java开发,全职,2017-05-10 09:16:05,初创型(未融资),[],15-50人,上海,浦东新区,开发/测试/运维类,大专,"平台大,福利好,氛围好,同事友好",12k-24k,24,12,18.0,5-10年
帝联科技,移动互联网,流媒体服务器开发工程师,全职,2017-05-10 09:15:58,成熟型(D轮及以上),"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",500-2000人,上海,普陀区,开发/测试/运维类,本科,"技术大咖多,办公环境好,晋升空间大,同事友好",16k-25k,25,16,20.5,3-5年
每金,O2O,设计总监（首饰方向）,全职,2017-05-10 09:15:52,成长型(不需要融资),"['绩效奖金', '带薪年假', '定期体检', '管理规范']",150-500人,广州,越秀区,设计类,本科,"设计总监,首饰,黄金珠宝",15k-30k,30,15,22.5,5-10年
爱抢购,"移动互联网,O2O",商务专员,全职,2017-05-10 09:15:52,成长型(B轮),"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",150-500人,无锡,梁溪区,市场/商务/销售类,大专,"晋升快,提升高,氛围逗比",10k-12k,12,10,11.0,1年以下
乐富购,"电子商务,移动互联网",美工,全职,2017-05-10 09:15:37,上市公司,"['股票期权', '交通补助', '午餐补助', '美女多']",150-500人,深圳,南山区,设计类,大专,"现金福利,生日宴会,股票期权,年终奖",4k-6k,6,4,5.0,1-3年
瀚德金控,金融,机构资金营销岗-XMGJ,全职,2017-05-10 09:15:37,成长型(不需要融资),"['绩效奖金', '午餐补助', '定期体检', '带薪年假']",150-500人,深圳,南山区,金融类,本科,"股票期权,绩效奖金,带薪年假,领导好",15k-20k,20,15,17.5,1-3年
冲动旅行,移动互联网,旅游销售顾问/BD,全职,2017-05-10 09:15:35,成长型(A轮),"['股票期权', '帅哥多', '五险一金']",150-500人,北京,海淀区,市场/商务/销售类,大专,"扁平化,鸡血团,颜值高,领导赞",4k-8k,8,4,6.0,1-3年
博瑞游戏,游戏,U3D开发,全职,2017-05-10 09:15:35,上市公司,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",150-500人,北京,海淀区,开发/测试/运维类,大专,"项目奖金,节日福利,餐补,五险一金",20k-30k,30,20,25.0,3-5年
圣卡斯,电子商务,品牌宣传专员,全职,2017-05-10 09:15:30,成长型(不需要融资),[],150-500人,成都,锦江区,市场/商务/销售类,大专,"晋升空间大,五险一金,专业培训,各种福利",5k-6k,6,5,5.5,1-3年
